date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1-Aug-21,Meghalaya,4-Wheelers,0,826
1-Aug-21,Mizoram,2-Wheelers,0,1057
1-Aug-21,Mizoram,4-Wheelers,0,240
1-Aug-21,Nagaland,2-Wheelers,0,577
1-Aug-21,Nagaland,4-Wheelers,0,763
1-Aug-21,Tripura,2-Wheelers,0,2462
1-Aug-21,Tripura,4-Wheelers,0,462
1-Sep-21,Andaman & Nicobar Island,2-Wheelers,0,329
1-Sep-21,Andaman & Nicobar Island,4-Wheelers,0,87
1-Sep-21,Arunachal Pradesh,2-Wheelers,0,1260
1-Sep-21,Arunachal Pradesh,4-Wheelers,0,637
1-Sep-21,Assam,4-Wheelers,0,6036
1-Sep-21,DNH and DD,4-Wheelers,0,348
1-Sep-21,Ladakh,2-Wheelers,0,26
1-Sep-21,Ladakh,4-Wheelers,0,444
1-Sep-21,Manipur,2-Wheelers,0,3492
1-Sep-21,Manipur,4-Wheelers,0,1202
1-Sep-21,Meghalaya,2-Wheelers,0,1396
1-Sep-21,Meghalaya,4-Wheelers,0,905
1-Sep-21,Mizoram,2-Wheelers,0,1465
1-Sep-21,Mizoram,4-Wheelers,0,264
1-Sep-21,Nagaland,4-Wheelers,0,681
1-Sep-21,Tripura,2-Wheelers,0,2736
1-Sep-21,Tripura,4-Wheelers,0,403
1-Oct-21,Andaman & Nicobar Island,2-Wheelers,0,360
1-Oct-21,Arunachal Pradesh,2-Wheelers,0,1109
1-Oct-21,Arunachal Pradesh,4-Wheelers,0,570
1-Oct-21,Assam,4-Wheelers,0,5877
1-Oct-21,Ladakh,4-Wheelers,0,289
1-Oct-21,Manipur,4-Wheelers,0,916
1-Oct-21,Meghalaya,2-Wheelers,0,1414
1-Oct-21,Meghalaya,4-Wheelers,0,722
1-Oct-21,Mizoram,2-Wheelers,0,1886
1-Oct-21,Mizoram,4-Wheelers,0,283
1-Oct-21,Nagaland,2-Wheelers,0,650
1-Oct-21,Nagaland,4-Wheelers,0,567
1-Oct-21,Puducherry,4-Wheelers,0,609
1-Oct-21,Tripura,2-Wheelers,0,3015
1-Oct-21,Tripura,4-Wheelers,0,366
1-Nov-21,Andaman & Nicobar Island,2-Wheelers,0,413
1-Nov-21,Andaman & Nicobar Island,4-Wheelers,0,125
1-Nov-21,Arunachal Pradesh,2-Wheelers,0,1262
1-Nov-21,Arunachal Pradesh,4-Wheelers,0,646
1-Nov-21,Assam,4-Wheelers,0,5618
1-Nov-21,DNH and DD,4-Wheelers,0,330
1-Nov-21,Himachal Pradesh,4-Wheelers,0,4496
1-Nov-21,Jammu and Kashmir,4-Wheelers,0,4709
1-Nov-21,Ladakh,2-Wheelers,0,28
1-Nov-21,Ladakh,4-Wheelers,0,287
1-Nov-21,Manipur,4-Wheelers,0,875
1-Nov-21,Meghalaya,2-Wheelers,0,1442
1-Nov-21,Meghalaya,4-Wheelers,0,806
1-Nov-21,Mizoram,2-Wheelers,0,1820
1-Nov-21,Mizoram,4-Wheelers,0,328
1-Nov-21,Nagaland,2-Wheelers,0,592
